date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:09%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:34:59	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:15%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.30.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:34:59	38127/38127	---M--	200	added ('OK')	image/jpeg	etag:%2262730e03-94ef%22	https://image.tmdb.org/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/Adgnfhm9B8YAQmC0osuP4zO9SRc.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:35:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:16%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:35:04	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:21%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.33.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:35:06	35060/35060	---M--	200	added ('OK')	image/jpeg	etag:%2262734eb9-88f4%22	https://image.tmdb.org/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:35:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:34:31%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:36:17	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:35:34%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.36.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:36:26	20553/20553	---M--	200	added ('OK')	image/jpeg	etag:%226272d60c-5049%22	https://image.tmdb.org/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/AqCOt1cWfKqCepxK7LIdT812idH.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:36:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:35:43%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.38.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:36:32	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:35:48%20GMT	https://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.39.delayed	(from https://wtach.club/en/movie/436270/black-adam)
07:36:32	30083/30083	---M--	200	added ('OK')	image/jpeg	etag:%2262891a28-7583%22	https://image.tmdb.org/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/image.tmdb.org/t/p/w300/alcY9jZBgKw9OB7hiPYVNvh03Sb.jpg	(from https://wtach.club/en/movie/436270/black-adam)
07:36:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2010%20Dec%202022%2006:35:48%20GMT	http://cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/cKWIxQh2dMUgjsxJenrf7A81D95.jpg	C:/Users/samsung/Documents/datt/www.dating.com/match/cdn.statically.io/img/image.tmdb.org/f=auto/t/p/w300/cKWIxQh2dMUgjsxJenrf7A81D95.jpg	(from https://wtach.club/en/movie/436270/black-adam)
